ticker,market_cap,beta,P/E
NVDA,4.766T,2.20,30.18
GOOGL,4.427T,1.24,27.67
GOOG,4.387T,1.24,27.44
AAPL,4.489T,1.09,36.96
MSFT,2.89T,1.10,23.18
AMZN,2.637T,1.44,32.09
TSM,2.322T,1.25,38.89
SPCX,2.081T,N/A,N/A
AVGO,1.749T,1.43,61.05
TSLA,1.493T,1.80,358.06
META,1.498T,1.23,21.45
MU,1.131T,2.14,22.61
BRK-A,1.087T,0.62,15.01
BRK-B,1.09T,0.62,15.05
LLY,1.097T,0.52,43.72
JPM,892.92B,1.00,15.96
AMD,846.64B,2.49,174.85
WMT,884.541B,0.60,39.14
ASML,696.975B,1.40,61.29
ASMLF,704.2B,1.40,61.89
V,677.059B,0.76,31.01
INTC,621.063B,2.23,N/A
JNJ,625.034B,0.26,30.05
XOM,574.034B,0.15,23.31
AMAT,483.132B,1.67,57.35
TCEHY,498.771B,0.74,15.60
TCTZF,505.075B,0.74,15.75
LRCX,456.027B,1.87,69.06
MA,468.129B,0.74,30.70
CSCO,448.417B,1.00,37.92
CAT,451.473B,1.60,48.69
ABBV,455.992B,0.31,127.14
DOGEF,441.779B,0.63,26.76
SSNLF,428.206B,1.49,19.52
CYATY,403.997B,0.40,33.58
BAC,414.973B,1.20,14.51
ORCL,413.261B,1.65,24.61
COST,416.05B,0.87,47.19
GE,395.724B,1.38,47.00
UNH,388.786B,0.65,32.26
IDCBY,380.182B,0.14,5.50
IDCBF,363.751B,0.14,5.20
ARM,352.861B,3.79,393.30
HD,351.474B,0.97,25.05
KO,355.622B,0.35,25.99
KLAC,319.162B,1.50,69.02
PG,348.487B,0.38,21.88
RHHVF,341.798B,0.33,21.43
MS,336.041B,1.22,19.30
RHHBF,334.159B,0.33,21.19
JPM-PC,N/A,1.00,1.88
CVX,336.59B,0.47,29.49
HSBC,333.458B,0.58,16.07
RHHBY,341.689B,0.33,21.39
HBCYF,332.675B,0.58,16.03
JPM-PD,N/A,1.00,1.78
NFLX,322.252B,1.49,24.69
MRK,317.447B,0.22,36.21
GEV,300.499B,1.04,32.64
CGXYY,302.555B,0.60,184.47
PLTR,311.543B,1.51,146.02
SNDK,274.508B,N/A,63.35
GS,302.321B,1.29,18.72
NVS,305.676B,0.49,22.95
NVSEF,292.663B,0.49,21.97
RY,284.478B,0.94,18.90
PANW,286.216B,0.94,302.75
AZN,301.689B,0.21,29.30
KXIAY,255.343B,N/A,75.26
PM,282.434B,0.41,25.49
DELL,259.649B,1.38,32.05
CICHF,274.68B,0.23,5.53
TXN,270.548B,1.31,50.82
LVMHF,282.771B,0.84,23.05
LVMUY,281.587B,0.84,22.92
CICHY,269.841B,0.23,5.40
